algoritmo,tipo,complexidade,r2,tempo_medio,memoria_media_mb
forca_bruta,tempo,O(2ⁿ) (R²=1.000),0.9999925606361078,6.815233182907105,
programacao_dinamica,tempo,O(2ⁿ) (R²=1.000),0.9999963333260043,0.6217615842819213,
backtracking,tempo,O(n²) (R²=0.981),0.9805800457585545,0.00155744552612299,
guloso_grau,tempo,O(n²) (R²=0.922),0.9219848412961641,0.00201497077941891,
guloso_reinicios,tempo,O(n²) (R²=1.000),0.9995456390290096,0.00467615127563472,
guloso_min_degree,tempo,O(n²) (R²=0.936),0.9355039501727226,0.03845176696777339,
guloso_core,tempo,O(n²) (R²=0.995),0.995090447563211,0.01390357017517086,
heuristica_coloring,tempo,O(n²) (R²=0.998),0.9977648965237373,0.0026949167251586496,
heuristica_local_search,tempo,O(n²) (R²=0.987),0.9866156334760631,0.00679197311401362,
meta_heuristica_genetico,tempo,O(n²) (R²=0.993),0.9928404946771074,0.10917880535125728,
forca_bruta,memoria,O(n²) (R²=0.952),0.9517615150483263,,0.007688903808593719
programacao_dinamica,memoria,O(2ⁿ) (R²=1.000),0.9999999971250757,,34.13954467773438
backtracking,memoria,O(n²) (R²=0.993),0.9930002921515481,,0.0074806213378906
guloso_grau,memoria,O(n²) (R²=0.998),0.9980002887775704,,0.14963150024414062
guloso_reinicios,memoria,O(n²) (R²=0.998),0.9979190083730661,,0.1523700714111328
guloso_min_degree,memoria,O(n²) (R²=0.998),0.9980712739729638,,0.2930450439453125
guloso_core,memoria,O(n²) (R²=0.997),0.9967288214011003,,0.1672149658203125
heuristica_coloring,memoria,O(n²) (R²=0.998),0.9977499418917072,,0.15420150756835932
heuristica_local_search,memoria,O(n²) (R²=0.999),0.9990279071229227,,0.2807147979736328
meta_heuristica_genetico,memoria,O(n²) (R²=0.996),0.9955596392250153,,0.18491439819335936
